qid,qidFull
RS8_8_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Trader Joe's"
RS8_8_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Publix"
RS8_8_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Wegmans"
RS8_8_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Walmart"
RS8_8_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Target"
RS8_8_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Aldi"
RS8_8_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Costco"
RS8_8_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Kroger"
RS8_8_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Albertsons"
RS8_8_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- Sam's Club"
RS8_8_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Avoiding crowded stores or long lines --- None of these"
RS8_9_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- The Fresh Market"
RS8_9_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Mom's Organic Market"
RS8_9_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Whole Foods Market"
RS8_9_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Sprouts Farmers Market"
RS8_9_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Trader Joe's"
RS8_9_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Publix"
RS8_9_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Wegmans"
RS8_9_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Walmart"
RS8_9_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Target"
RS8_9_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Aldi"
RS8_9_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Costco"
RS8_9_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Kroger"
RS8_9_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Albertsons"
RS8_9_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- Sam's Club"
RS8_9_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Shopping for a large family or group --- None of these"
RS8_10_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- The Fresh Market"
RS8_10_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Mom's Organic Market"
RS8_10_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Whole Foods Market"
RS8_10_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Sprouts Farmers Market"
RS8_10_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Trader Joe's"
RS8_10_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Publix"
RS8_10_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Wegmans"
RS8_10_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Walmart"
RS8_10_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Target"
RS8_10_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Aldi"
RS8_10_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Costco"
RS8_10_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Kroger"
RS8_10_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Albertsons"
RS8_10_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- Sam's Club"
RS8_10_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Buying groceries online or for pickup --- None of these"
RS8_11_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- The Fresh Market"
RS8_11_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Mom's Organic Market"
RS8_11_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Whole Foods Market"
RS8_11_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Sprouts Farmers Market"
RS8_11_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Trader Joe's"
RS8_11_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Publix"
RS8_11_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Wegmans"
RS8_11_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Walmart"
RS8_11_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Target"
RS8_11_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Aldi"
RS8_11_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Costco"
RS8_11_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Kroger"
RS8_11_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Albertsons"
RS8_11_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- Sam's Club"
RS8_11_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Needing help or ideas on what to buy --- None of these"
RS8_12_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- The Fresh Market"
RS8_12_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Mom's Organic Market"
RS8_12_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Whole Foods Market"
RS8_12_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Sprouts Farmers Market"
RS8_12_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Trader Joe's"
RS8_12_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Publix"
RS8_12_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Wegmans"
RS8_12_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Walmart"
RS8_12_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Target"
RS8_12_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Aldi"
RS8_12_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Costco"
RS8_12_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Kroger"
RS8_12_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Albertsons"
RS8_12_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- Sam's Club"
RS8_12_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Looking for specialty or international foods --- None of these"
RS8_13_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- The Fresh Market"
RS8_13_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Mom's Organic Market"
RS8_13_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Whole Foods Market"
RS8_13_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Sprouts Farmers Market"
RS8_13_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Trader Joe's"
RS8_13_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Publix"
RS8_13_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Wegmans"
RS8_13_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Walmart"
RS8_13_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Target"
RS8_13_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Aldi"
RS8_13_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Costco"
RS8_13_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Kroger"
RS8_13_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Albertsons"
RS8_13_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- Sam's Club"
RS8_13_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling health-conscious and wanting to eat better --- None of these"
RS8_14_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- The Fresh Market"
RS8_14_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Mom's Organic Market"
RS8_14_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Whole Foods Market"
RS8_14_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Sprouts Farmers Market"
RS8_14_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Trader Joe's"
RS8_14_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Publix"
RS8_14_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Wegmans"
RS8_14_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Walmart"
RS8_14_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Target"
RS8_14_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Aldi"
RS8_14_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Costco"
RS8_14_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Kroger"
RS8_14_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Albertsons"
RS8_14_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- Sam's Club"
RS8_14_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Short on time but wanting convenient, good food --- None of these"
RS8_15_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- The Fresh Market"
RS8_15_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Mom's Organic Market"
RS8_15_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Whole Foods Market"
RS8_15_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Sprouts Farmers Market"
RS8_15_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Trader Joe's"
RS8_15_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Publix"
RS8_15_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Wegmans"
RS8_15_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Walmart"
RS8_15_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Target"
RS8_15_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Aldi"
RS8_15_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Costco"
RS8_15_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Kroger"
RS8_15_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Albertsons"
RS8_15_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- Sam's Club"
RS8_15_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Feeling inspired to cook or try something new --- None of these"
RS8_16_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- The Fresh Market"
RS8_16_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Mom's Organic Market"
RS8_16_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Whole Foods Market"
RS8_16_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Sprouts Farmers Market"
RS8_16_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Trader Joe's"
RS8_16_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Publix"
RS8_16_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Wegmans"
RS8_16_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Walmart"
RS8_16_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Target"
RS8_16_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Aldi"
RS8_16_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Costco"
RS8_16_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Kroger"
RS8_16_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Albertsons"
RS8_16_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- Sam's Club"
RS8_16_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Choosing environmentally friendly grocery options --- None of these"
RS8_17_1NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- The Fresh Market"
RS8_17_2NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Mom's Organic Market"
RS8_17_3NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Whole Foods Market"
RS8_17_4NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Sprouts Farmers Market"
RS8_17_5NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Trader Joe's"
RS8_17_6NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Publix"
RS8_17_7NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Wegmans"
RS8_17_8NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Walmart"
RS8_17_9NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Target"
RS8_17_10NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Aldi"
RS8_17_11NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Costco"
RS8_17_12NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Kroger"
RS8_17_13NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Albertsons"
RS8_17_14NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- Sam's Club"
RS8_17_15NET,"For each of the following situations, please indicate which grocery stores you would consider visiting. Please select all that apply. --- Running other errands and picking up groceries too --- None of these"
RS8mmstertile_1,The Fresh Market Mental Market Share Tertiles
RS8mmstertile_2,Mom's Organic Market Mental Market Share Tertiles
RS8mmstertile_3,Whole Foods Market Mental Market Share Tertiles
RS8mmstertile_4,Sprouts Farmers Market Mental Market Share Tertiles
RS8mmstertile_5,Trader Joe's Mental Market Share Tertiles
RS8mmstertile_6,Publix Mental Market Share Tertiles
RS8mmstertile_7,Wegmans Mental Market Share Tertiles
RS8mmstertile_8,Walmart Mental Market Share Tertiles
RS8mmstertile_9,Target Mental Market Share Tertiles
RS8mmstertile_10,Aldi Mental Market Share Tertiles
RS8mmstertile_11,Costco Mental Market Share Tertiles
RS8mmstertile_12,Kroger Mental Market Share Tertiles
RS8mmstertile_13,Albertsons Mental Market Share Tertiles
RS8mmstertile_14,Sam's Club Mental Market Share Tertiles
RS8ditertile_1,Doing my regular weekly grocery shopping Derived Importance Tertiles
RS8ditertile_2,Hosting guests or preparing for a special meal Derived Importance Tertiles
RS8ditertile_3,Planning meals and realizing I'm low on supplies Derived Importance Tertiles
RS8ditertile_4,Looking for healthy or better-quality food options Derived Importance Tertiles
RS8ditertile_5,Buying ready-to-eat meals to save time Derived Importance Tertiles
RS8ditertile_6,Trying to save money on groceries Derived Importance Tertiles
RS8ditertile_7,Wanting to try new or seasonal products Derived Importance Tertiles
RS8ditertile_8,Avoiding crowded stores or long lines Derived Importance Tertiles
RS8ditertile_9,Shopping for a large family or group Derived Importance Tertiles
RS8ditertile_10,Buying groceries online or for pickup Derived Importance Tertiles
RS8ditertile_11,Needing help or ideas on what to buy Derived Importance Tertiles
RS8ditertile_12,Looking for specialty or international foods Derived Importance Tertiles
RS8ditertile_13,Feeling health-conscious and wanting to eat better Derived Importance Tertiles
RS8ditertile_14,"Short on time but wanting convenient, good food Derived Importance Tertiles"
RS8ditertile_15,Feeling inspired to cook or try something new Derived Importance Tertiles
RS8ditertile_16,Choosing environmentally friendly grocery options Derived Importance Tertiles
RS8ditertile_17,Running other errands and picking up groceries too Derived Importance Tertiles
RS8mpen_1,Mental Penetration --- The Fresh Market
RS8mpen_2,Mental Penetration --- Mom's Organic Market
RS8mpen_3,Mental Penetration --- Whole Foods Market
RS8mpen_4,Mental Penetration --- Sprouts Farmers Market
RS8mpen_5,Mental Penetration --- Trader Joe's
RS8mpen_6,Mental Penetration --- Publix
RS8mpen_7,Mental Penetration --- Wegmans
RS8mpen_8,Mental Penetration --- Walmart
RS8mpen_9,Mental Penetration --- Target
RS8mpen_10,Mental Penetration --- Aldi
RS8mpen_11,Mental Penetration --- Costco
RS8mpen_12,Mental Penetration --- Kroger
RS8mpen_13,Mental Penetration --- Albertsons
RS8mpen_14,Mental Penetration --- Sam's Club
RS2_1,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_2,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_3,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_4,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_5,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_6,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_7,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_8,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_9,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS2_10,Imagine you were about to purchase groceries. Which grocery stores come to mind? Please list up to ten stores that first come to mind.
RS8ns_1,Network Size --- The Fresh Market
RS8ns_1_buyer,Buyer Network Size --- The Fresh Market
RS8ns_1_nb,Non-Buyer Network Size --- The Fresh Market
RS8ns_2,Network Size --- Mom's Organic Market
RS8ns_2_buyer,Buyer Network Size --- MOM's Organic Market
RS8ns_2_nb,Non-Buyer Network Size --- MOM's Organic Market
RS8ns_3,Network Size --- Whole Foods Market
RS8ns_3_buyer,Buyer Network Size --- Whole Foods Market
RS8ns_3_nb,Non-Buyer Network Size --- Whole Foods Market
RS8ns_4,Network Size --- Sprouts Farmers Market
RS8ns_4_buyer,Buyer Network Size --- Sprouts Farmers Market
RS8ns_4_nb,Non-Buyer Network Size --- Sprouts Farmers Market
RS8ns_5,Network Size --- Trader Joe's
RS8ns_5_buyer,Buyer Network Size --- Trader Joe's
RS8ns_5_nb,Non-Buyer Network Size --- Trader Joe's
RS8ns_6,Network Size --- Publix
RS8ns_6_buyer,Buyer Network Size --- Publix Super Markets
RS8ns_6_nb,Non-Buyer Network Size --- Publix Super Markets
RS8ns_7,Network Size --- Wegmans
RS8ns_7_buyer,Buyer Network Size --- Wegmans
RS8ns_7_nb,Non-Buyer Network Size --- Wegmans
RS8ns_8,Network Size --- Walmart
RS8ns_8_buyer,Buyer Network Size --- Walmart
RS8ns_8_nb,Non-Buyer Network Size --- Walmart
RS8ns_9,Network Size --- Target
RS8ns_9_buyer,Buyer Network Size --- Target
RS8ns_9_nb,Non-Buyer Network Size --- Target
RS8ns_10,Network Size --- Aldi
RS8ns_10_buyer,Buyer Network Size --- Aldi
RS8ns_10_nb,Non-Buyer Network Size --- Aldi
RS8ns_11,Network Size --- Costco
RS8ns_11_buyer,Buyer Network Size --- Costco
RS8ns_11_nb,Non-Buyer Network Size --- Costco
RS8ns_12,Network Size --- Kroger
RS8ns_12_buyer,Buyer Network Size --- Kroger
RS8ns_12_nb,Non-Buyer Network Size --- Kroger
RS8ns_13,Network Size --- Albertsons
RS8ns_13_buyer,Buyer Network Size --- Albertsons
RS8ns_13_nb,Non-Buyer Network Size --- Albertsons
RS8ns_14,Network Size --- Sam's Club
RS8ns_14_buyer,Buyer Network Size --- Sam's Club
RS8ns_14_nb,Non-Buyer Network Size --- Sam's Club